day,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
23,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
24,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
25,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
26,3,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0
27,3,1,2,1,1,0,1,0,0,2,0,2,0,1,0,0,0
28,3,1,2,2,1,0,2,0,0,2,0,2,0,1,0,0,0
29,4,1,2,3,2,0,2,0,0,3,0,2,1,1,0,0,0
30,5,1,3,3,2,0,2,1,0,3,0,2,2,1,0,0,0
31,6,1,3,4,2,0,2,1,0,3,0,2,2,1,1,0,0
32,9,1,4,4,2,0,2,1,0,3,0,2,2,1,1,0,0
33,12,1,4,4,3,0,3,1,0,4,1,2,2,1,1,0,0
34,15,1,4,6,4,0,4,1,0,5,1,2,3,2,1,0,0
35,17,1,6,7,6,0,4,1,0,5,1,3,3,2,2,0,0
36,21,1,8,7,7,0,5,1,0,5,1,5,4,2,3,1,0
37,23,1,9,8,7,0,7,2,0,8,1,6,5,2,5,2,0
38,27,1,11,8,7,1,9,2,0,8,2,7,8,3,5,3,2
39,38,1,13,10,8,2,12,2,0,12,2,7,9,3,6,4,2
40,42,3,15,12,8,2,13,2,2,13,3,8,10,5,6,7,4
41,46,4,19,14,13,4,15,2,3,14,3,8,12,5,7,7,5
42,53,4,25,16,18,4,16,3,3,16,3,8,12,5,10,8,5
43,62,6,29,21,21,4,19,4,5,18,3,9,12,6,10,8,6
44,74,7,32,24,25,4,19,5,6,18,5,11,14,6,11,9,6
45,86,8,34,26,27,4,20,7,6,19,5,11,16,7,11,9,7
46,95,8,37,27,28,5,24,9,6,20,5,13,18,8,11,9,7
47,102,8,42,28,30,5,25,11,9,23,6,14,18,9,11,9,9
48,115,8,48,29,31,6,25,16,11,25,7,15,20,9,11,11,9
49,131,8,48,29,35,6,25,22,11,27,7,17,22,9,11,12,13
50,137,8,55,31,38,7,30,25,12,28,7,23,22,10,14,13,14
51,146,8,58,33,43,7,33,27,13,32,7,23,24,10,14,15,14
52,160,9,60,34,49,7,40,36,14,33,7,23,25,10,14,15,15
53,163,9,62,34,54,9,40,43,14,37,7,24,27,11,15,16,15
54,173,9,66,36,56,9,42,50,16,40,7,26,30,12,15,20,16
55,179,9,67,37,56,9,43,53,16,40,8,26,35,12,16,20,16
56,187,9,69,39,62,10,48,55,19,42,9,27,37,12,17,20,16
57,194,9,72,39,66,10,51,62,20,45,9,27,38,12,17,21,16
58,201,9,74,40,69,10,53,70,23,48,9,28,39,12,17,24,16
59,207,9,74,43,76,10,55,76,23,49,9,28,43,12,17,24,16
60,211,9,75,47,87,10,62,85,27,49,10,28,48,12,17,29,16
61,218,9,83,49,97,10,63,91,28,52,12,28,52,13,17,30,17
62,220,9,85,49,99,10,65,96,31,53,12,29,55,13,17,31,17
63,230,10,85,51,101,10,67,101,35,54,17,30,57,13,17,31,17
64,231,11,89,51,104,10,68,105,35,54,18,31,61,13,17,31,17
65,231,11,89,51,108,10,70,110,36,54,18,31,63,13,17,33,17
66,232,11,90,51,113,10,71,115,36,54,18,31,66,13,18,35,17
67,232,11,91,52,115,10,78,120,36,56,18,31,67,13,18,35,17
68,242,11,92,52,120,10,79,123,36,57,18,31,68,13,18,35,17
69,246,11,92,52,126,10,82,128,36,57,18,31,69,13,18,37,17
70,250,11,92,52,128,10,82,133,36,57,18,31,69,13,18,37,17
